15,78,91,31,20,31,84,50,37,27,58,85,8,10,71,28,84,71,62,16,39,17,10,44,28,73,8,16,32,88,23,15,87,32,47,2,43,50,42,4,91,45,89,13,70,28,80,75,52,42
9,89,43,31,23,55,23,5,38,8,92,91,11,19,45,57,42,44,80,85,76,51,45,65,3,50,6,41,48,58,25,79,25,21,24,34,71,63,43,42,52,61,12,60,85,20,22,88,44,82
42,87,26,85,9,73,64,68,97,38,33,8,26,28,99,44,52,74,61,14,62,0,34,75,67,4,70,93,21,3,7,89,42,71,12,76,97,69,85,77,8,30,28,50,6,47,99,45,34,91
90,25,20,13,61,18,13,55,67,58,53,99,60,43,84,23,70,95,88,8,44,72,27,28,38,15,30,10,11,24,32,45,52,11,15,33,87,43,32,78,96,38,10,16,45,39,54,32,68,83
70,50,63,8,18,75,80,74,72,26,46,60,4,87,68,37,66,39,70,42,47,51,1,68,79,64,22,22,94,80,96,74,96,18,5,1,46,12,68,7,0,27,90,85,77,52,48,61,16,8
72,32,7,44,97,82,31,6,38,56,24,87,84,38,65,96,52,99,88,83,10,68,85,23,26,40,63,66,91,64,65,35,94,52,1,54,62,35,19,26,78,22,45,61,63,26,89,80,22,2
54,53,26,49,1,21,65,39,7,38,75,54,52,38,33,4,52,95,32,5,23,6,69,48,72,17,23,14,99,6,77,93,92,82,53,1,90,61,58,22,83,84,23,20,91,35,13,52,33,62
54,1,4,67,18,25,14,33,95,89,22,57,49,44,82,25,40,36,15,33,39,16,72,17,8,27,56,55,69,73,92,12,96,8,76,8,49,63,4,58,36,0,97,49,29,50,97,38,12,30
98,58,46,21,86,85,92,9,76,77,12,69,72,39,5,6,19,86,34,69,63,69,96,73,74,45,0,58,7,99,61,94,79,44,12,90,41,65,67,21,98,68,7,32,43,85,98,65,12,99
0,16,40,47,42,87,29,69,5,62,84,82,52,24,74,81,73,33,52,90,63,15,67,20,36,86,44,9,95,92,27,53,22,50,90,44,23,10,42,35,49,4,89,60,4,26,41,44,34,24
56,15,91,59,76,99,22,85,55,49,77,55,6,20,28,79,34,18,17,58,22,53,11,38,41,64,90,36,64,49,3,77,98,87,57,48,71,41,3,3,99,7,95,32,27,89,9,29,62,28
14,91,62,71,78,82,55,42,66,18,2,71,25,31,78,34,88,80,60,98,64,49,52,13,99,82,47,23,97,87,44,96,7,73,69,50,27,28,7,31,42,83,19,4,14,7,14,26,17,52
94,88,65,79,9,66,76,88,52,69,40,65,71,59,49,98,43,11,30,2,32,62,27,48,30,42,75,78,31,26,67,7,58,66,46,42,13,24,54,95,47,88,27,82,82,32,82,20,42,96
53,47,47,94,73,2,60,69,5,14,81,75,26,47,90,9,46,8,64,68,60,85,17,25,57,5,9,32,86,79,1,91,36,8,33,10,60,88,79,42,80,78,63,45,34,61,84,55,92,23
84,61,44,53,82,98,48,75,34,8,77,59,87,14,16,60,98,74,34,47,68,37,9,11,79,78,29,5,89,98,65,13,94,99,73,33,56,0,49,48,37,38,73,76,98,26,14,67,69,13
65,82,17,43,18,92,55,9,1,91,89,71,61,76,66,13,94,29,13,7,0,67,2,97,69,93,19,88,79,66,70,56,69,93,40,21,58,50,60,11,27,76,30,21,1,77,64,70,87,75
8,2,36,33,4,89,35,12,3,91,57,58,91,69,86,44,15,96,74,83,8,42,26,46,96,62,70,63,97,56,73,83,59,33,92,1,0,81,66,15,42,53,83,82,34,35,38,71,20,13
10,48,40,41,77,83,96,80,98,72,26,74,21,79,43,62,37,39,26,19,56,54,68,80,77,67,22,31,13,68,25,62,75,30,74,3,74,65,9,22,62,97,17,35,21,90,24,64,83,11
72,85,37,36,32,24,33,71,91,74,0,31,56,74,49,0,15,81,30,96,12,50,31,71,11,76,70,52,51,45,88,45,40,35,2,39,94,73,21,21,7,20,43,1,25,77,8,35,62,0
98,10,29,25,36,0,95,11,61,71,0,39,65,11,29,10,11,73,1,16,15,81,17,86,11,57,26,89,30,45,94,98,81,86,36,29,25,66,39,63,11,34,12,14,14,53,38,32,51,70
51,39,91,99,34,21,53,57,9,56,88,28,88,8,37,0,56,34,28,77,71,81,10,69,63,70,81,9,23,37,49,51,63,2,69,58,88,73,3,4,6,66,30,7,55,73,49,63,83,29
50,5,46,73,20,78,98,17,62,8,5,21,82,33,80,41,11,33,76,93,55,43,48,78,28,73,1,26,66,90,85,79,71,6,14,28,72,51,44,69,92,59,22,21,98,43,81,53,3,56
35,39,35,95,55,58,7,60,26,70,51,29,92,87,86,16,57,13,63,0,38,94,54,71,64,38,35,96,89,89,56,64,7,43,96,98,90,24,77,79,95,19,66,15,24,66,65,93,6,80
59,57,37,87,54,27,13,80,0,61,30,83,63,63,83,12,47,50,21,56,69,72,77,3,46,52,15,93,16,58,31,54,30,44,67,81,47,35,41,59,66,24,77,64,78,28,31,87,30,61
13,18,87,75,23,73,60,24,4,32,72,78,68,6,93,80,15,60,59,83,71,7,65,24,57,22,23,2,90,93,72,62,24,61,80,10,21,64,53,62,38,68,22,34,62,5,35,92,46,44
50,17,91,70,69,49,58,45,36,63,24,61,66,64,9,76,65,99,30,6,73,64,43,25,23,9,89,25,35,41,55,56,49,39,42,51,81,8,23,52,71,69,57,24,81,87,15,20,12,10
88,64,8,57,51,11,2,70,61,38,5,0,26,32,74,64,26,71,53,38,56,44,35,11,15,47,14,68,46,85,19,23,33,16,60,12,24,35,75,4,74,88,87,99,53,41,78,22,69,38
54,44,86,10,90,47,90,84,75,16,51,60,31,15,49,24,81,93,17,85,55,84,41,50,47,58,71,47,79,90,90,34,22,90,36,9,71,12,81,55,70,98,89,28,34,30,31,76,78,4
47,84,23,96,38,15,12,19,3,73,17,57,75,18,28,29,75,54,0,22,41,52,29,45,26,16,2,53,3,10,86,89,26,95,58,16,60,16,51,61,68,19,48,98,98,71,20,17,48,59
88,16,96,15,72,1,23,82,33,30,23,63,44,23,81,24,88,83,65,61,76,0,23,27,46,31,60,69,94,18,70,16,21,58,86,21,13,69,71,25,44,37,92,71,68,56,19,33,84,21
59,40,35,96,93,46,68,28,74,73,7,43,67,22,7,53,22,49,92,58,74,93,28,0,77,46,33,44,55,96,86,35,35,63,10,39,70,67,19,51,6,91,97,55,39,58,80,58,69,72
63,0,58,9,6,24,26,65,47,9,75,24,13,61,24,54,87,25,57,6,93,32,59,88,48,3,72,15,61,40,40,12,95,75,37,37,82,41,70,41,68,1,21,40,38,21,95,97,83,75
61,56,79,60,44,74,84,97,82,24,41,27,67,70,99,91,37,93,40,46,22,12,37,90,25,85,16,1,2,64,57,84,34,14,33,0,70,9,82,37,79,70,11,61,93,53,74,53,8,84
42,47,0,6,57,13,60,90,63,90,45,3,71,23,50,59,1,14,8,11,35,27,50,39,4,91,95,3,34,21,35,49,33,15,49,80,7,77,55,58,20,12,40,92,20,52,96,7,72,42
21,91,15,57,92,55,40,9,69,45,49,81,89,78,29,27,61,15,83,30,83,98,77,95,99,68,5,90,26,31,28,21,32,27,69,59,93,21,0,10,41,82,75,83,61,34,25,65,46,84
29,17,11,63,62,53,54,75,47,18,58,22,4,92,99,51,99,16,1,96,0,13,6,85,46,28,13,25,73,4,24,4,30,51,64,63,99,52,26,82,63,2,93,92,47,31,42,43,88,99
2,20,80,57,94,43,8,10,28,95,16,99,66,48,24,27,52,86,98,74,84,89,44,57,93,40,43,23,32,36,50,1,5,87,90,51,64,29,17,82,73,11,47,14,69,82,5,3,98,69
60,11,97,33,93,37,35,59,60,94,71,57,83,46,91,80,85,23,44,7,57,22,27,96,48,46,16,97,64,22,16,51,49,37,19,11,72,37,10,99,28,45,16,8,22,10,77,22,57,5
11,90,28,2,84,3,44,75,33,88,37,42,38,47,36,26,49,36,51,30,21,74,30,80,81,70,62,54,63,67,95,20,9,48,60,14,30,25,90,21,39,62,58,68,39,51,7,78,80,19
47,76,25,31,85,90,8,16,35,59,99,83,30,76,47,15,40,32,69,97,87,71,52,14,58,84,97,83,1,85,58,72,41,78,56,30,97,1,0,89,8,54,13,34,2,10,92,47,99,82
